,city name,country,date,lon,lat,max temp,humidity,cloudiness,wind speed
158,Bonnyville,CA,1590273232,-110.73,54.27,48.2,61,75,11.41
159,Pacifica,US,1590273232,-122.49,37.61,71.01,43,20,19.46
160,Paamiut,GL,1590273232,-49.67,61.99,41.4,72,35,18.3
161,Umluj,SA,1590273232,37.27,25.02,82.31,66,0,7.07
162,Kiryat Gat,IL,1590273122,34.76,31.61,69.01,77,24,12.55
165,Bilibino,RU,1590273232,166.44,68.05,31.77,89,28,4.41
166,Vidim,RU,1590273232,103.11,56.41,60.71,51,70,2.46
168,Kungälv,SE,1590273232,11.98,57.87,48.99,94,34,1.99
169,Esim,GH,1590273232,-2.24,4.87,79.41,85,29,7.0
170,Chokurdakh,RU,1590273232,147.92,70.63,31.1,97,91,5.68
171,Ribeira Grande,PT,1590273232,-28.7,38.52,65.3,92,100,14.38
173,High Level,CA,1590273232,-117.14,58.52,64.4,31,75,9.17
174,Belyy Yar,RU,1590273232,91.39,53.6,51.8,87,0,4.47
175,Carson City,US,1590273232,-119.77,39.16,69.8,10,1,8.05
176,Värnamo,SE,1590273232,14.04,57.19,48.0,83,0,6.82
177,Tayga,RU,1590273126,85.62,56.06,55.0,93,1,6.71
179,Ponta do Sol,PT,1590273233,-17.1,32.67,75.2,44,20,21.92
180,Clovis,US,1590273003,-119.7,36.83,84.99,17,20,4.7
181,Jasper,US,1590273038,-94.35,37.2,84.99,58,1,12.75
182,Raudeberg,NO,1590273233,5.14,61.99,51.01,70,100,14.18
184,Dingle,PH,1590273233,122.67,11.0,82.29,80,100,1.95
186,Dingli,MT,1590273233,14.38,35.86,66.0,88,0,3.36
189,Loreto,MX,1590273117,-101.97,22.27,83.68,12,0,11.9
191,Böhönye,HU,1590273233,17.38,46.41,59.0,87,90,12.75
193,Pahrump,US,1590273233,-115.98,36.21,79.0,8,1,5.99
194,Centralia,US,1590272941,-122.95,46.72,62.6,51,90,4.7
195,Marsala,IT,1590273233,12.44,37.8,73.0,82,0,4.7
196,Grindavik,IS,1590273233,-22.43,63.84,50.0,61,14,13.87
197,Kahului,US,1590273233,-156.47,20.89,89.6,46,40,23.04
199,Liepāja,LV,1590273233,21.04,56.54,50.0,93,100,10.29
200,Korla,CN,1590273233,86.15,41.76,66.54,38,38,14.25
201,The Valley,AI,1590273233,-63.06,18.22,84.2,74,20,5.82
204,Stillwater,US,1590273234,-97.06,36.12,87.8,45,1,13.87
205,Mīnāb,IR,1590273234,57.08,27.15,82.4,78,0,6.93
206,City of San Pedro,PH,1590273234,121.02,14.35,80.6,88,75,1.63
207,Tanacu,RO,1590273234,27.82,46.68,52.0,53,40,2.24
210,Portland,US,1590272868,-122.68,45.52,64.0,48,90,3.38
213,Puerto Escondido,MX,1590273234,-97.07,15.85,86.0,70,20,8.05
215,Urengoy,RU,1590273234,78.37,65.97,55.2,80,100,7.43
220,Smolenka,RU,1590273234,113.5,52.14,48.2,31,70,6.71
222,Sayyan,YE,1590273234,44.32,15.17,61.16,63,23,1.39
224,Nouadhibou,MR,1590273235,-17.03,20.93,68.0,88,75,17.22
225,Ostrovnoy,RU,1590273235,39.51,68.05,37.11,79,81,18.52
226,Kalmunai,LK,1590273235,81.82,7.42,81.86,80,100,2.37
227,Cockburn Town,TC,1590273235,-71.14,21.46,80.76,85,100,17.05
229,Tagburos,PH,1590273235,118.73,9.83,80.6,83,75,4.7
231,Deder,ET,1590273235,41.45,9.32,59.86,78,68,3.4
232,Coahuayana Viejo,MX,1590273235,-103.68,18.73,82.4,61,40,17.22
234,Makakilo City,US,1590273235,-158.09,21.35,84.2,62,1,9.17
235,Katsuura,JP,1590273235,140.3,35.13,66.2,93,40,4.7
237,Upernavik,GL,1590273235,-56.15,72.79,29.66,97,23,14.81
239,Kavaratti,IN,1590273235,72.64,10.57,84.58,76,41,12.17
242,Nouakchott,MR,1590273235,-15.98,18.09,64.4,93,40,18.34
243,Sattenapalle,IN,1590273235,80.18,16.4,82.67,85,85,8.57
244,Kohtla-Järve,EE,1590273235,27.27,59.4,43.41,64,83,10.29
246,Fortuna,US,1590273235,-124.16,40.6,62.01,67,20,17.22
247,Yellowknife,CA,1590273006,-114.35,62.46,46.4,49,75,16.11
248,Faya,SA,1590273235,42.45,18.39,68.0,59,20,1.5
249,Meulaboh,ID,1590273236,96.13,4.14,77.79,88,100,4.25
250,Les Cayes,HT,1590273236,-73.75,18.2,81.79,79,97,6.67
251,Yangi Marg`ilon,UZ,1590273236,71.72,40.43,75.2,36,0,2.24
252,Ikorodu,NG,1590273236,3.5,6.62,80.6,88,20,2.24
253,Berlevåg,NO,1590273236,29.09,70.86,45.03,70,61,23.67
254,Dawlatabad,AF,1590273236,64.91,36.41,75.65,23,0,0.43
255,Catuday,PH,1590273236,119.81,16.29,82.24,79,99,7.99
256,Clyde River,CA,1590273236,-68.59,70.47,28.4,86,90,6.93
257,Aktobe,KZ,1590273080,57.21,50.28,68.0,45,90,13.42
258,Changtu,CN,1590273236,124.1,42.78,57.6,86,50,4.65
259,Omsukchan,RU,1590273236,155.8,62.53,36.55,78,41,2.28
260,Talnakh,RU,1590273236,88.4,69.49,51.8,87,75,8.95
265,Skegness,GB,1590273236,0.34,53.14,57.2,58,67,16.11
268,Shache,CN,1590273236,77.24,38.42,67.01,26,14,4.09
269,San Patricio,MX,1590273237,-104.7,19.22,82.4,78,20,17.22
270,Darhan,MN,1590273237,105.92,49.49,55.38,51,82,3.65
271,Tromsø,NO,1590273237,18.96,69.65,46.4,77,78,23.04
272,Wuda,CN,1590273237,106.71,39.5,57.49,37,100,9.22
273,Yumen,CN,1590273237,97.2,40.28,60.3,31,2,9.71
274,Palmer,US,1590273117,-72.33,42.16,68.0,67,75,14.99
275,Sibu,MY,1590273237,111.82,2.3,73.4,94,75,2.24
277,Krasnosel'kup,RU,1590273237,82.47,65.7,58.6,61,87,12.66
279,Saltillo,MX,1590273119,-101.0,25.42,75.2,47,40,11.86
282,Olafsvik,IS,1590273237,-23.71,64.89,48.18,64,47,6.67
283,Port Blair,IN,1590273237,92.75,11.67,82.51,78,100,6.71
284,Castries,LC,1590273237,-61.01,14.0,84.2,69,20,10.29
285,Chumikan,RU,1590273237,135.31,54.72,41.2,73,77,1.23
286,Ban Nahin,LA,1590273237,104.21,18.24,74.89,92,100,3.65
288,Norman Wells,CA,1590273237,-126.83,65.28,64.4,39,20,10.29
290,Hobyo,SO,1590273237,48.53,5.35,83.14,68,1,24.45
291,Hambantota,LK,1590273237,81.12,6.12,81.64,82,98,16.64
295,Keti Bandar,PK,1590273238,67.45,24.14,82.87,79,0,17.18
296,Miyako,JP,1590273238,141.95,39.64,63.48,76,1,2.77
297,Vardø,NO,1590273238,31.11,70.37,44.22,79,48,15.57
298,Matsusaka,JP,1590273238,136.53,34.57,69.8,73,20,11.41
300,Megion,RU,1590273238,76.11,61.03,53.6,87,42,6.71
301,Kuandian,CN,1590273238,124.78,40.73,56.03,87,38,3.22
303,Brae,GB,1590273238,-1.35,60.4,48.2,93,100,17.22
304,Chastyye,RU,1590273238,54.97,57.29,50.11,75,100,9.28
305,Eureka,US,1590273173,-124.16,40.8,66.99,65,80,5.99
306,Sarwār,IN,1590273238,75.0,26.07,88.09,32,14,17.11
307,Ugoofaaru,MV,1590273238,73.0,5.67,83.91,78,24,16.37
310,Katangli,RU,1590273238,143.23,51.71,40.05,86,96,8.68
311,Jiménez,MX,1590273238,-105.4,28.33,91.4,5,5,8.05
312,Kodinsk,RU,1590273125,99.18,58.69,64.47,48,28,1.14
313,Dalnerechensk,RU,1590273238,133.72,45.93,52.57,92,100,3.94
314,Broome,US,1590273238,-75.83,42.25,75.0,60,90,5.82
317,Churapcha,RU,1590273238,132.43,62.0,53.65,43,87,4.16
318,Bagrāmī,AF,1590273239,69.27,34.49,62.6,51,1,3.36
319,Sitka,US,1590273239,-135.33,57.05,55.4,58,90,20.8
321,Rosetta,EG,1590273239,30.42,31.4,68.0,56,40,20.8
322,Guatire,VE,1590273239,-66.54,10.48,77.52,68,88,4.99
323,Kumul,CN,1590273239,93.45,42.8,65.62,38,64,11.54
324,Blagoyevo,RU,1590273239,47.92,63.37,33.35,90,80,2.91
325,Verkhnyaya Inta,RU,1590273239,60.31,65.98,36.16,88,100,12.71
326,Sibolga,ID,1590273239,98.78,1.74,77.0,82,100,4.41
327,Lata,PT,1590273239,-8.33,40.16,63.0,84,7,1.01
328,Eyl,SO,1590273239,49.82,7.98,88.11,54,42,20.65
329,Cabo San Lucas,MX,1590273012,-109.91,22.89,86.0,45,5,12.75
330,Okitipupa,NG,1590273239,4.78,6.5,75.56,93,31,1.81
332,College,US,1590273239,-147.8,64.86,72.0,26,40,6.93
333,Danshui,CN,1590273239,114.47,22.8,81.0,99,72,3.91
334,Lac du Bonnet,CA,1590273239,-96.06,50.25,80.01,34,100,5.01
336,La Tuque,CA,1590273008,-72.78,47.43,61.36,38,0,3.36
337,Progreso,MX,1590273239,-89.67,21.28,84.0,94,75,23.04
338,Mandalgovi,MN,1590273239,106.27,45.76,49.05,51,87,13.2
341,Ust'-Koksa,RU,1590273240,85.61,50.27,46.98,77,73,1.36
342,‘Ewa Beach,US,1590273240,-158.01,21.32,84.2,62,1,9.17
345,Mehamn,NO,1590273240,27.85,71.04,45.81,68,29,19.51
346,Port Hardy,CA,1590273240,-127.42,50.7,53.6,87,90,5.82
347,Sinnamary,GF,1590273240,-52.95,5.38,78.98,87,89,9.78
348,Portage,US,1590273240,-81.2,41.17,75.99,53,1,2.04
351,Motygino,RU,1590273240,94.76,58.18,60.94,56,0,0.72
352,Bud,US,1590273240,-86.18,39.45,72.0,78,1,10.29
353,Lerwick,GB,1590273240,-1.15,60.15,48.2,100,100,26.4
355,Jalu,LY,1590273240,21.55,29.03,71.65,42,0,12.91
356,Sovetskiy,RU,1590273240,63.58,61.36,43.21,88,9,4.5
357,Shingū,JP,1590273240,135.98,33.73,67.42,85,92,6.69
358,Great Yarmouth,GB,1590273240,1.73,52.61,55.0,75,30,3.0
359,Sørland,NO,1590273240,12.69,67.67,46.6,82,53,6.93
360,Grand Forks,US,1590273236,-97.03,47.93,77.0,47,75,9.17
361,Altay,CN,1590273241,88.12,47.87,54.52,56,22,3.47
362,Erenhot,CN,1590273241,111.98,43.65,55.35,52,88,7.61
364,Yamaranguila,HN,1590273241,-88.25,14.28,86.0,70,40,11.41
365,Nantucket,US,1590273241,-70.1,41.28,48.2,93,90,17.22
366,Nadym,RU,1590273241,72.52,65.53,49.89,80,100,11.63
367,Acapulco de Juárez,MX,1590272961,-99.89,16.86,84.2,70,5,12.75
369,Kushima,JP,1590273241,131.23,31.46,69.8,88,40,11.41
370,Darnah,LY,1590273241,22.64,32.77,66.43,77,0,11.27
372,Mahibadhoo,MV,1590273241,72.97,3.78,84.31,77,87,21.68
375,Sept-Îles,CA,1590273241,-66.38,50.2,46.4,39,20,10.29
376,Zhicheng,CN,1590273241,111.5,30.3,75.0,69,73,4.16
378,Tiznit Province,MA,1590273241,-9.5,29.58,81.88,23,22,1.74
379,Agadez,NE,1590273241,10.25,19.75,88.12,32,97,7.45
380,Bethel,US,1590273241,-73.41,41.37,57.0,82,90,9.17
381,Tokur,RU,1590273241,132.9,53.13,46.83,55,96,4.32
382,Baheri,IN,1590273241,79.5,28.78,84.69,22,89,5.48
383,Eisenberg,DE,1590273241,11.9,50.97,51.01,70,89,11.12
384,Pangnirtung,CA,1590273242,-65.71,66.15,26.13,93,92,6.4
385,Goshāinganj,IN,1590273242,82.38,26.58,84.58,55,46,5.41
386,Dukat,RU,1590273242,155.55,62.55,33.6,87,32,2.66
387,Nguru,NG,1590273242,10.45,12.88,90.52,32,19,1.97
388,Grande Prairie,CA,1590273242,-118.8,55.17,66.2,45,75,8.05
389,Lavrentiya,RU,1590273242,-171.0,65.58,33.71,96,97,2.06
390,Santo Tomas,PH,1590273013,121.14,14.11,80.6,88,75,1.72
391,Kwang Binh,VN,1590273236,106.6,17.48,79.57,81,100,7.18
393,Tessalit,ML,1590273242,1.01,20.2,79.36,23,0,7.56
396,Marabu,MY,1590273242,114.01,4.41,78.8,94,75,8.05
397,Fairbanks,US,1590273242,-147.72,64.84,73.0,23,1,5.12
398,Sur,OM,1590273242,59.53,22.57,83.82,71,0,12.46
401,Bandi̇̄pur,NP,1590273242,84.42,27.93,65.26,93,75,2.39
403,Truro,GB,1590272999,-5.05,50.27,54.0,87,81,13.87
404,Saint-Augustin,CA,1590273243,-58.65,51.23,45.12,56,25,14.94
405,Kanchanaburi,TH,1590273243,99.1,14.63,78.17,86,100,1.19
406,Aasiaat,GL,1590273243,-52.87,68.71,35.82,84,0,10.96
409,Sungai Raya,ID,1590273243,108.9,0.7,78.67,89,93,7.09
410,Kushmurun,KZ,1590273243,64.63,52.45,67.06,61,88,8.72
411,Barcelos,PT,1590273143,-8.62,41.54,68.0,87,80,4.59
412,Vostok,RU,1590273243,135.88,46.49,52.18,88,95,2.13
413,Cervo,ES,1590273243,-7.41,43.67,54.0,92,100,11.99
414,Date,JP,1590273243,140.87,42.47,55.63,82,97,2.01
415,Médéa,DZ,1590273083,2.75,36.26,62.6,93,0,2.24
416,Pacific Grove,US,1590273000,-121.92,36.62,71.01,45,1,9.17
420,Mikhaylovsk,RU,1590273243,42.03,45.13,44.6,75,0,6.71
421,Arrondissement d'Ajaccio,FR,1590273243,8.92,42.0,62.6,77,77,4.7
422,Nikel,RU,1590273243,30.22,69.41,42.8,52,45,23.04
423,Tongliao,CN,1590273243,122.27,43.61,60.17,65,0,6.22
426,Los Llanos de Aridane,ES,1590273244,-17.92,28.66,69.8,83,100,17.22
428,Severnyy,RU,1590273244,36.55,50.68,42.8,93,75,6.71
429,La Ronge,CA,1590273244,-105.28,55.1,51.8,66,90,16.11
430,San Juan del Cesar,CO,1590273244,-73.0,10.77,81.64,84,97,3.04
431,Tsimmerbude,RU,1590273244,20.13,54.67,50.0,93,90,2.24
432,Cuerámaro,MX,1590273244,-101.72,20.62,89.6,7,5,13.87
433,Nizhneangarsk,RU,1590273244,109.55,55.78,51.22,56,6,8.95
434,Nanortalik,GL,1590273244,-45.24,60.14,43.74,67,100,3.78
436,Thākurganj,IN,1590273244,88.13,26.45,76.14,83,71,6.85
438,Huanan,CN,1590273244,130.52,46.22,51.89,91,100,8.14
439,Mezen',RU,1590273244,44.24,65.85,32.0,91,23,3.04
441,Jerusalem,IL,1590273017,35.22,31.77,61.0,86,27,13.0
442,Cartagena del Chairá,CO,1590272973,-74.84,1.33,80.13,85,100,2.35
443,Yakeshi,CN,1590273244,120.73,49.28,44.24,72,21,15.73
446,Baie-Comeau,CA,1590273245,-68.15,49.22,48.2,36,1,13.87
447,Dzhebariki-Khaya,RU,1590273245,135.8,62.22,54.19,40,97,3.83
448,Bonthe,SL,1590273245,-12.51,7.53,79.43,86,95,2.8
449,Yanam,IN,1590273245,82.22,16.73,80.87,95,50,2.64
452,Makkah al Mukarramah,SA,1590273038,39.83,21.43,84.29,30,0,2.62
454,Upata,VE,1590273245,-62.4,8.01,84.99,65,74,5.01
456,Kralendijk,BQ,1590273245,-68.27,12.15,84.2,70,100,21.92
457,Marawi,PH,1590273245,124.29,8.0,73.99,89,66,7.0
459,Alihe,CN,1590273245,123.72,50.57,49.64,74,98,8.84
460,Awjilah,LY,1590273245,21.29,29.11,71.01,43,0,15.05
462,Abu Samrah,SY,1590273245,37.18,35.3,61.32,71,0,13.85
463,Kashgar,CN,1590273245,75.98,39.45,68.0,27,0,8.95
464,Mamakan,RU,1590273245,114.0,57.82,56.07,39,10,0.89
465,Nuuk,GL,1590273245,-51.72,64.18,39.2,80,0,8.05
466,Taoudenni,ML,1590273246,-3.98,22.68,86.47,25,0,15.12
467,Hvolsvollur,IS,1590273246,-20.22,63.75,46.99,65,0,5.01
468,Lubbock,US,1590273204,-101.83,33.6,87.8,43,75,16.11
472,Rio Rancho,US,1590273232,-106.66,35.23,84.99,10,1,14.99
473,Chardara,KZ,1590273246,67.97,41.25,73.8,47,0,2.44
474,Qaqortoq,GL,1590273246,-46.03,60.72,55.4,28,28,13.87
475,Baoying,CN,1590273246,119.31,33.23,78.01,99,22,1.01
476,Castro Urdiales,ES,1590273246,-3.22,43.38,55.0,87,20,2.24
477,Vágur,FO,1590273246,-6.81,61.47,47.1,92,97,26.11
478,Smidovich,RU,1590273246,133.82,48.6,52.59,78,99,11.81
479,Puerto Cabezas,NI,1590273246,-83.39,14.04,83.77,78,88,6.33
480,Juneau,US,1590273225,-134.42,58.3,57.2,62,90,5.82
481,Yibin,CN,1590273246,104.62,28.77,72.18,77,100,7.02
482,Tricase,IT,1590273246,18.36,39.93,60.8,77,5,3.36
483,Midland,US,1590273208,-102.08,32.0,89.6,38,40,27.51
484,Russell,US,1590273043,-85.2,32.35,89.6,49,20,2.75
486,Dwārka,IN,1590273246,68.97,22.24,82.76,82,0,13.56
487,Beringovskiy,RU,1590273246,179.32,63.05,32.04,98,96,13.0
488,Qarqīn,AF,1590273246,66.04,37.42,81.14,23,0,1.48
489,Marzuq,YE,1590273247,46.47,14.4,80.87,39,83,5.68
491,San Cristobal,VE,1590273247,-72.22,7.77,91.4,41,40,25.28
492,Rendsburg,DE,1590273247,9.67,54.3,52.0,76,40,8.05
493,Mt. Pleasant,US,1590273247,-79.86,32.79,84.2,70,1,8.05
495,San-Pédro,CI,1590273247,-6.64,4.75,77.88,90,84,3.47
496,Madera,US,1590273247,-119.83,37.17,82.0,28,0,1.01
497,Khāsh,IR,1590273247,61.22,28.22,71.29,46,0,4.27
498,Alexandria,EG,1590273050,29.96,31.22,68.0,56,40,20.8
501,Longhua,CN,1590273247,114.19,23.61,75.4,88,14,1.21
503,Buinsk,RU,1590273247,48.28,54.95,53.6,76,90,13.42
506,Harper,LR,1590273247,-7.72,4.38,79.23,85,11,5.79
507,Mizusawa,JP,1590273247,141.13,39.13,64.94,81,54,2.06
509,Taksimo,RU,1590273247,114.88,56.34,52.83,42,67,2.04
510,Saint Paul,US,1590273019,-93.09,44.94,71.6,68,75,6.93
512,Grand-Lahou,CI,1590273248,-5.02,5.14,78.84,87,88,6.69
514,Funadhoo,MV,1590273248,73.27,6.15,83.68,80,26,15.95
515,Lunel,FR,1590273248,4.14,43.68,64.4,59,90,6.93
516,Yambio,SS,1590273248,28.4,4.57,68.09,96,52,2.1
518,Mahon,ES,1590272974,4.27,39.89,68.0,82,85,16.11
520,Smithers,CA,1590273240,-127.17,54.78,64.4,36,75,3.36
521,Berkåk,NO,1590273248,10.01,62.83,52.0,65,1,1.99
522,Markala,ML,1590273248,-6.07,13.7,90.79,11,1,6.87
523,San Quintín,MX,1590273248,-115.95,30.48,65.77,63,0,18.12
526,Mayo,US,1590273248,-76.51,38.89,79.0,71,37,1.99
528,Asău,RO,1590273248,26.4,46.43,43.0,83,56,3.69
529,Marrakesh,MA,1590273248,-8.01,31.63,86.0,30,40,4.7
